us_state,release_date,title,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Connecticut,2007-09-23,The War,874.0,0,0,0.487489,5.3,3.0,0
Minnesota,2007-09-23,The War,874.0,0,0,0.487489,5.3,3.0,0
Alabama,2013-03-09,Twist of Faith,85.0,0,0,0.420116,6.5,4.0,0
New York,2013-03-09,Twist of Faith,85.0,0,0,0.420116,6.5,4.0,0
Alabama,2004-08-24,Doug Stanhope: Deadbeat Hero,95.0,0,0,0.408733,7.0,5.0,0
Alabama,1984-01-01,The Bear,0.0,0,0,0.353172,6.0,1.0,0
Alabama,1928-12-01,A Lady of Chance,78.0,0,0,0.290308,0.0,0.0,0
Alabama,2012-02-15,Deadline,95.0,0,0,0.232568,4.5,2.0,0
Alabama,1963-10-21,Crisis: Behind a Presidential Commitment,52.0,0,0,0.183471,7.8,4.0,0
Alabama,2007-01-31,The Dhamma Brothers,76.0,0,0,0.14527,5.0,2.0,0
Alabama,2012-07-07,Hell and Mr Fudge,95.0,800000,0,0.126732,0.0,0.0,-1600000
Alabama,2008-07-05,The Order of Myths,97.0,0,0,0.086141,6.5,2.0,0
Alabama,1987-01-01,Thru the Wire,6.0,0,0,0.012236,4.8,4.0,0
Utah,1987-01-01,Thru the Wire,6.0,0,0,0.012236,4.8,4.0,0
Alabama,1986-06-09,Deaf,164.0,0,0,0.005625,0.0,0.0,0
Alabama,1987-12-02,Blind,132.0,0,0,0.00273,5.0,1.0,0
Alabama,1986-06-02,Adjustment and Work,120.0,0,0,0.000809,7.0,1.0,0
Alaska,2015-02-27,Into the Grizzly Maze,94.0,10000000,0,15.860139,5.1,74.0,-20000000
Alaska,2007-09-11,Into the Wild,148.0,15000000,56255142,15.423538,7.8,3139.0,26255142
Alaska,1997-09-06,The Edge,117.0,0,43312294,15.174973,6.8,359.0,43312294
Alaska,2012-01-26,The Grey,117.0,25000000,77278331,14.31675,6.4,1476.0,27278331
Alaska,2009-11-06,The Fourth Kind,98.0,10000000,42333295,13.751992,5.8,451.0,22333295
Alaska,2012-03-09,Game Change,118.0,0,0,12.844171,6.4,98.0,0
Alaska,2013-07-18,The Frozen Ground,105.0,27220000,5496951,12.388833,6.1,473.0,-48943049
Alaska,1995-12-22,Balto,78.0,0,11348324,12.140733,7.1,423.0,11348324
Alaska,2007-10-17,30 Days of Night,113.0,30000000,75505973,8.764548,6.2,784.0,15505973
Alaska,2005-08-12,Grizzly Man,103.0,0,0,8.535339,7.3,213.0,0
Alaska,1990-02-16,Revenge,123.0,0,15645616,7.429491,6.0,89.0,15645616
Alaska,2010-10-04,30 Days of Night: Dark Days,92.0,0,0,7.320221,4.8,121.0,0
Alaska,1994-02-18,On Deadly Ground,102.0,50000000,49000000,6.678661,4.6,109.0,-51000000
Alaska,1925-06-25,The Gold Rush,95.0,923000,2500000,6.202041,7.7,308.0,654000
Georgia,1925-06-25,The Gold Rush,95.0,923000,2500000,6.202041,7.7,308.0,654000
Alaska,2008-02-05,Snow Buddies,87.0,0,0,5.71765,4.9,42.0,0
Alaska,1999-10-01,"Mystery, Alaska",119.0,28000000,8888143,4.512767,6.0,71.0,-47111857
New York,1999-10-01,"Mystery, Alaska",119.0,28000000,8888143,4.512767,6.0,71.0,-47111857
Alaska,2006-09-11,The Last Winter,101.0,0,0,4.320642,5.6,58.0,0
Alaska,2016-12-09,Sugar Mountain,106.0,0,0,3.912405,5.9,16.0,0
Alaska,2014-04-17,Bears,78.0,0,0,3.661961,7.2,72.0,0
Alaska,2008-05-22,Wendy and Lucy,80.0,200000,0,3.328853,6.4,65.0,-400000
Alaska,1989-10-01,Robot Jox,85.0,10000000,0,3.312779,5.3,32.0,-20000000
Alaska,2007-09-20,Resident Evil: Extinction,94.0,45000000,148412065,3.009134,6.1,1308.0,58412065
Nevada,2007-09-20,Resident Evil: Extinction,94.0,45000000,148412065,3.009134,6.1,1308.0,58412065
Alaska,2004-01-01,Out of Reach,88.0,20000000,0,2.916012,4.0,30.0,-40000000
Alaska,1960-11-07,North to Alaska,122.0,3500000,0,2.827496,5.7,25.0,-7000000
Alaska,1996-01-03,North Star,90.0,0,0,2.753163,5.2,3.0,0
Alaska,2010-12-11,Ice Quake,91.0,0,0,2.567848,3.8,28.0,0
Alaska,1996-08-14,Alaska,109.0,23000000,0,2.318141,5.2,32.0,-46000000
Alaska,2004-10-03,Long Way Round,294.0,0,0,2.091255,8.2,24.0,0
New York,2004-10-03,Long Way Round,294.0,0,0,2.091255,8.2,24.0,0
Alaska,1999-06-04,Limbo,126.0,8000000,1997807,1.969282,7.0,17.0,-14002193
Alaska,1994-04-15,White Fang 2: Myth of the White Wolf,106.0,0,0,1.819367,5.1,17.0,0
Alaska,2015-10-16,Unnatural,89.0,0,0,1.804845,4.3,12.0,0
Alaska,2009-03-21,Northern Lights,120.0,0,0,1.739262,5.8,11.0,0
Alaska,1983-05-01,Eureka,130.0,0,123572,1.721489,5.8,14.0,123572
Alaska,1960-11-23,G.I. Blues,104.0,0,0,1.587357,6.3,19.0,0
Alaska,2009-01-31,Wyvern,90.0,0,0,1.486371,5.5,14.0,0
Alaska,1946-02-27,Road to Utopia,90.0,0,0,1.456451,6.5,11.0,0
Alaska,2004-06-25,Deep Evil,90.0,0,0,1.064408,3.3,6.0,0
Alaska,1935-08-09,The Call of the Wild,81.0,0,0,1.061454,6.0,13.0,0
Alaska,1972-11-30,The Call of the Wild,100.0,0,0,1.023079,6.8,11.0,0
Alaska,1952-10-09,The World in His Arms,104.0,0,0,0.976834,7.0,4.0,0
Alaska,1992-04-29,Leaving Normal,110.0,0,0,0.945706,6.0,7.0,0
Wyoming,1992-04-29,Leaving Normal,110.0,0,0,0.945706,6.0,7.0,0
Alaska,2011-12-14,On the Ice,96.0,0,0,0.919294,7.0,10.0,0
Alaska,1997-01-21,Hurricane Streets,86.0,0,0,0.629699,4.8,4.0,0
New Mexico,1997-01-21,Hurricane Streets,86.0,0,0,0.629699,4.8,4.0,0
Alaska,2011-12-02,Alone in the Wilderness Part II,60.0,0,0,0.517268,7.6,9.0,0
Alaska,2009-06-12,The End of the Line,85.0,0,0,0.512026,5.9,6.0,0
Alaska,1950-01-04,The Flying Saucer,69.0,0,0,0.432126,2.7,7.0,0
Alaska,1994-12-10,Rugged Gold,120.0,0,0,0.414039,4.0,1.0,0
Alaska,1949-08-17,Jolson Sings Again,96.0,0,0,0.369118,6.5,2.0,0
Alaska,1954-02-06,Hell and High Water,103.0,0,0,0.338405,4.7,3.0,0
Alaska,2006-12-25,The Frozen North,60.0,0,0,0.310486,6.9,8.0,0
Alaska,1991-10-31,Salmonberries,95.0,0,0,0.25793,5.7,3.0,0
Alaska,2009-01-01,Godspeed,99.0,0,0,0.23636,4.0,4.0,0
Alaska,2005-12-02,First Descent,110.0,0,739690,0.226138,6.0,2.0,739690
Alaska,2011-07-15,The Undefeated,117.0,1000000,0,0.187487,1.9,5.0,-2000000
Alaska,2009-11-28,Mount St. Elias,105.0,0,0,0.159445,5.7,3.0,0
Alaska,2008-01-01,Sikumi (On The Ice),15.0,0,0,0.130241,5.0,2.0,0
Alaska,2013-04-19,Alcan Highway,86.0,0,0,0.120931,6.5,2.0,0
Alaska,2012-11-22,Unbreakable: The Western States 100,105.0,0,0,0.120866,7.8,2.0,0
Colorado,2012-11-22,Unbreakable: The Western States 100,105.0,0,0,0.120866,7.8,2.0,0
Oregon,2012-11-22,Unbreakable: The Western States 100,105.0,0,0,0.120866,7.8,2.0,0
Alaska,2006-05-05,Dying To Have Known,80.0,0,0,0.110046,7.0,2.0,0
New York,2006-05-05,Dying To Have Known,80.0,0,0,0.110046,7.0,2.0,0
Alaska,1975-12-31,White Fang and the Hunter,91.0,0,0,0.06978,5.0,2.0,0
Alaska,2010-10-26,Chronic Town,0.0,0,0,0.05283,0.0,0.0,0
Alaska,1924-05-14,The Chechahcos,87.0,0,0,0.038728,5.0,1.0,0
Alaska,1944-12-27,Belle of the Yukon,83.0,0,0,0.036946,0.0,0.0,0
Alaska,1943-12-17,Klondike Kate,64.0,0,0,0.013553,0.0,0.0,0
Alaska,2013-02-08,alaskaLand,76.0,0,0,0.010588,0.0,0.0,0
Alaska,1996-10-17,Snowriders,96.0,0,2035470,0.001223,0.0,0.0,2035470
Arizona,2007-09-06,3:10 to Yuma,122.0,55000000,70016220,18.079094,6.9,1210.0,-39983780
Arizona,2017-04-21,Phoenix Forgotten,80.0,2800000,3600000,12.560942,5.7,52.0,-2000000
Arizona,1984-12-13,Starman,115.0,22000000,28744356,9.763928,6.6,219.0,-15255644
Wisconsin,1984-12-13,Starman,115.0,22000000,28744356,9.763928,6.6,219.0,-15255644
Arizona,2010-08-20,Piranha 3D,88.0,24000000,83188165,8.212132,5.3,599.0,35188165
Arizona,2008-09-21,Alien Raiders,85.0,0,0,8.091476,5.1,61.0,0
Arizona,1953-05-26,It Came from Outer Space,81.0,0,0,7.749114,6.2,52.0,0
Arizona,1973-08-18,Electra Glide in Blue,114.0,0,0,7.714702,6.6,22.0,0
Arizona,1986-11-21,The Wraith,93.0,2700000,3500000,7.657918,5.9,109.0,-1900000
Arizona,1993-01-06,Arizona Dream,142.0,19000000,0,5.465995,7.2,170.0,-38000000
New York,1993-01-06,Arizona Dream,142.0,19000000,0,5.465995,7.2,170.0,-38000000
Arizona,2015-07-03,Cartel Land,100.0,0,0,4.889765,7.4,160.0,0
Arizona,2009-01-01,A Dangerous Man,94.0,6500000,0,4.461175,5.1,37.0,-13000000
Arizona,1990-08-22,Pump up the Volume,105.0,0,11541758,4.289341,7.0,86.0,11541758
Arizona,2016-07-15,600 Miles,85.0,0,0,3.733787,6.2,37.0,0
Arizona,1988-05-20,White of the Eye,110.0,0,0,3.121105,5.7,15.0,0
Arizona,1993-01-10,"Bodies, Rest & Motion",95.0,2500000,764083,2.296734,4.3,8.0,-4235917
Arizona,1951-08-10,David and Bathsheba,123.0,0,0,2.162008,4.7,10.0,0
Arizona,1964-03-18,7 Faces of Dr. Lao,100.0,0,0,2.124202,6.9,21.0,0
Arizona,1965-08-25,Rampage at Apache Wells,89.0,0,0,2.117193,5.5,10.0,0
Arizona,1957-09-01,Forty Guns,79.0,0,0,2.055948,6.3,21.0,0
Arizona,1958-09-03,The Badlanders,83.0,0,0,1.97046,6.1,6.0,0
Arizona,1969-03-26,100 Rifles,110.0,0,0,1.739815,5.5,24.0,0
Arizona,1966-08-27,Arizona Colt,118.0,0,0,1.457101,7.0,1.0,0
Arizona,1962-11-21,Girls! Girls! Girls!,106.0,0,0,1.435609,5.6,13.0,0
Arizona,2015-06-16,The Phoenix Incident,81.0,1300000,0,1.352518,5.0,23.0,-2600000
Arizona,2015-05-05,The Encounter,85.0,0,0,1.285409,4.2,11.0,0
Arizona,2001-10-30,Route 666,86.0,2300000,0,1.141172,4.9,13.0,-4600000
Arizona,1949-06-10,Lust for Gold,90.0,0,0,1.121124,4.7,8.0,0
Arizona,2006-01-01,Wild Seven,98.0,0,0,1.118792,3.8,6.0,0
Arizona,2013-06-22,Jodi Arias: Dirty Little Secret,89.0,0,0,1.110241,4.0,13.0,0
Arizona,1997-01-19,Last Stand at Saber River,0.0,0,0,1.087671,3.7,3.0,0
Arizona,1953-12-04,Escape from Fort Bravo,99.0,0,0,1.060091,6.0,13.0,0
Arizona,1972-11-21,Gargoyles,74.0,0,0,1.032154,5.9,11.0,0
Arizona,2012-06-20,Kumaré,86.0,0,0,0.971157,7.1,27.0,0
Arizona,2010-02-19,Blood Into Wine,100.0,0,0,0.876887,6.5,8.0,0
Arizona,1969-08-20,What Ever Happened to Aunt Alice?,101.0,0,0,0.875307,5.2,5.0,0
Arizona,1950-03-04,The Baron of Arizona,97.0,0,0,0.869231,7.5,15.0,0
Arizona,1963-12-25,"Captain Newman, M.D.",126.0,0,0,0.858836,5.3,3.0,0
Arizona,2013-10-27,Dark Mountain,82.0,0,0,0.742753,5.5,6.0,0
Arizona,1980-07-01,Hangar 18,97.0,0,6000000,0.657274,5.1,14.0,6000000
Arizona,1953-11-10,The Living Desert,69.0,0,0,0.553225,6.4,5.0,0
California,1953-11-10,The Living Desert,69.0,0,0,0.553225,6.4,5.0,0
Arizona,1968-08-21,¡Por mis... pistolas!,123.0,0,0,0.549598,5.0,3.0,0
Arizona,1967-07-01,Common Law Cabin,70.0,0,0,0.48006,7.6,5.0,0
Arizona,1995-01-01,Werewolf,99.0,350000,0,0.475216,2.3,9.0,-700000
Arizona,1965-08-01,Arizona Raiders,88.0,0,0,0.392813,6.3,4.0,0
Arizona,2017-02-24,Savageland,80.0,0,0,0.376757,6.3,8.0,0
Arizona,1972-09-21,Cancel My Reservation,99.0,0,0,0.372144,4.0,2.0,0
Arizona,2006-01-01,Midnight Clear,103.0,0,0,0.296538,0.0,0.0,0
Arizona,1948-08-29,The Golden Eye,69.0,0,0,0.255532,5.8,6.0,0
Arizona,2016-09-15,Doug Stanhope: No Place Like Home,72.0,0,0,0.196713,6.7,3.0,0
Arizona,1992-12-07,Four Eyes and Six-Guns,92.0,0,0,0.190428,0.0,0.0,0
Arizona,2002-03-31,Big Shot: Confessions of a Campus Bookie,88.0,0,0,0.11926,5.3,3.0,0
Arizona,1984-02-01,Running Hot,95.0,500000,0,0.11065,6.5,2.0,-1000000
Arizona,1975-02-02,Rafferty and the Gold Dust Twins,91.0,0,0,0.101713,8.0,1.0,0
California,1975-02-02,Rafferty and the Gold Dust Twins,91.0,0,0,0.101713,8.0,1.0,0
Nevada,1975-02-02,Rafferty and the Gold Dust Twins,91.0,0,0,0.101713,8.0,1.0,0
Arizona,2009-11-01,I Know What I Saw,0.0,0,0,0.080713,8.0,1.0,0
Washington,2009-11-01,I Know What I Saw,0.0,0,0,0.080713,8.0,1.0,0
Arizona,1942-10-19,Thunder Birds,78.0,0,0,0.079019,0.0,0.0,0
Arizona,1969-01-15,Riot,96.0,0,0,0.078393,6.0,2.0,0
Arizona,1973-01-01,The No Mercy Man,90.0,0,0,0.054685,5.7,3.0,0
Arizona,1961-12-22,The Second Time Around,99.0,0,0,0.038223,4.0,1.0,0
New York,1961-12-22,The Second Time Around,99.0,0,0,0.038223,4.0,1.0,0
Arkansas,1980-06-20,Brubaker,125.0,0,37121708,14.503963,7.1,98.0,37121708
Arkansas,1969-06-11,True Grit,128.0,0,14250000,12.497833,7.3,205.0,14250000
Oklahoma,1969-06-11,True Grit,128.0,0,14250000,12.497833,7.3,205.0,14250000
Texas,1969-06-11,True Grit,128.0,0,14250000,12.497833,7.3,205.0,14250000
Arkansas,2005-09-13,Walk the Line,136.0,28000000,186438883,11.476443,7.3,732.0,130438883
Arkansas,1992-12-25,Trespass,101.0,14000000,0,9.879725,6.2,46.0,-28000000
Arkansas,2001-10-26,Daddy and Them,101.0,0,0,8.404739,5.6,6.0,0
Arkansas,1996-03-29,A Family Thing,109.0,0,0,6.207993,5.6,14.0,0
Arkansas,1993-10-15,The Beverly Hillbillies,93.0,0,0,5.673735,5.0,86.0,0
Arkansas,1972-06-14,Boxcar Bertha,92.0,600000,0,5.070135,6.0,38.0,-1200000
Arkansas,1976-09-26,The Town That Dreaded Sundown,86.0,0,0,4.876494,6.1,48.0,0
Texas,1976-09-26,The Town That Dreaded Sundown,86.0,0,0,4.876494,6.1,48.0,0
Arkansas,2007-10-01,Shotgun Stories,92.0,0,0,4.770903,6.9,58.0,0
Arkansas,1992-05-08,One False Move,105.0,0,1543112,3.14325,6.7,28.0,1543112
Arkansas,2011-10-10,Paradise Lost 3: Purgatory,121.0,0,0,2.84239,7.6,44.0,0
Arkansas,2012-12-25,West of Memphis,150.0,0,0,2.80109,7.6,55.0,0
Arkansas,2000-07-28,Paradise Lost 2: Revelations,130.0,0,0,1.661741,7.2,26.0,0
Arkansas,1972-08-01,The Legend of Boggy Creek,90.0,100000,22000000,1.522753,5.6,19.0,21800000
Arkansas,2004-06-20,The Hunting of the President,90.0,0,0,0.842853,8.0,1.0,0
Arkansas,2008-10-24,Adopt a Sailor,85.0,300000,0,0.508823,5.3,5.0,-600000
New York,2008-10-24,Adopt a Sailor,85.0,300000,0,0.508823,5.3,5.0,-600000
Arkansas,2016-09-14,Command and Control,92.0,0,0,0.269965,5.1,6.0,0
Arkansas,1933-07-12,Pilgrimage,96.0,0,0,0.178164,5.0,1.0,0
Arkansas,1976-02-21,Fighting Mad,90.0,600000,0,0.094378,5.5,3.0,-1200000
Arkansas,1937-07-03,The Singing Marine,105.0,0,0,0.060994,0.0,0.0,0
New York,1937-07-03,The Singing Marine,105.0,0,0,0.060994,0.0,0.0,0
Arkansas,1978-01-06,"September 30, 1955",101.0,0,0,0.000463,0.0,0.0,0
California,2015-05-27,San Andreas,114.0,110000000,470490832,20.547925,6.0,3017.0,250490832
California,2010-03-19,The Runaways,106.0,10000000,2995811,19.42051,6.3,262.0,-17004189
California,1982-04-03,E.T. the Extra-Terrestrial,115.0,10500000,792965326,19.358546,7.3,3359.0,771965326
California,2006-06-08,Cars,117.0,120000000,461983149,18.907948,6.6,3991.0,221983149
California,2016-11-24,The Founder,115.0,25000000,23964782,17.523343,7.0,855.0,-26035218
Illinois,2016-11-24,The Founder,115.0,25000000,23964782,17.523343,7.0,855.0,-26035218
California,2017-07-13,Shot Caller,121.0,0,0,15.786854,6.9,324.0,0
California,2009-04-28,Legally Blondes,86.0,0,0,15.504416,4.4,48.0,0
California,1982-08-13,Fast Times at Ridgemont High,90.0,4500000,27092880,14.658885,7.0,330.0,18092880
California,2008-09-19,Lakeview Terrace,110.0,20000000,27640028,13.857624,5.9,294.0,-12359972
California,2014-10-09,Kill the Messenger,112.0,5000000,2450846,13.524048,6.6,359.0,-7549154
California,2004-10-22,Sideways,126.0,16000000,109502303,12.646518,6.9,484.0,77502303
California,2017-02-17,In Dubious Battle,110.0,15000000,0,12.514865,5.6,22.0,-30000000
California,2001-04-04,Blow,124.0,53000000,83282296,12.332223,7.4,1352.0,-22717704
California,1972-10-01,Duel,74.0,450000,0,12.331251,7.2,374.0,-900000
California,1974-06-20,Chinatown,130.0,6000000,30000000,12.29227,7.9,939.0,18000000
California,2010-06-04,Marmaduke,87.0,50000000,83761844,12.285545,5.0,150.0,-16238156
Kansas,2010-06-04,Marmaduke,87.0,50000000,83761844,12.285545,5.0,150.0,-16238156
California,2017-03-23,CHiPS,100.0,25000000,26800152,12.238061,6.2,277.0,-23199848
California,1989-06-01,Warlock,103.0,7000000,0,11.906872,5.8,98.0,-14000000
Massachusetts,1989-06-01,Warlock,103.0,7000000,0,11.906872,5.8,98.0,-14000000
California,1972-08-23,The Candidate,110.0,0,0,11.862375,6.9,39.0,0
California,2008-01-14,Sleepwalking,101.0,0,204660,11.823889,6.4,26.0,204660
Utah,2008-01-14,Sleepwalking,101.0,0,204660,11.823889,6.4,26.0,204660
California,1994-05-24,Beverly Hills Cop III,104.0,50000000,119208989,11.787784,5.5,445.0,19208989
California,1982-06-04,Poltergeist,114.0,10700000,122200000,11.776326,7.1,811.0,100800000
California,1993-09-17,Airborne,91.0,2600000,2850263,11.600224,6.1,20.0,-2349737
Ohio,1993-09-17,Airborne,91.0,2600000,2850263,11.600224,6.1,20.0,-2349737
California,1978-05-26,Big Wednesday,120.0,11000000,0,11.589692,6.8,47.0,-22000000
California,2005-10-16,Havoc,85.0,9000000,0,11.576336,5.1,80.0,-18000000
California,1998-07-16,The Mask of Zorro,136.0,95000000,250288523,11.348096,6.3,1211.0,60288523
California,1994-07-15,Angels in the Outfield,102.0,0,50236831,10.892812,5.7,124.0,50236831
California,2008-11-26,Milk,128.0,20000000,54586584,10.680121,7.1,628.0,14586584
California,1969-10-15,Paint Your Wagon,158.0,20000000,31678778,10.648872,6.3,65.0,-8321222
Michigan,1969-10-15,Paint Your Wagon,158.0,20000000,31678778,10.648872,6.3,65.0,-8321222
California,2003-12-19,Mona Lisa Smile,117.0,65000000,0,10.527191,6.5,406.0,-130000000
Massachusetts,2003-12-19,Mona Lisa Smile,117.0,65000000,0,10.527191,6.5,406.0,-130000000
California,1991-08-02,Doc Hollywood,104.0,0,0,10.068517,5.9,154.0,0
Washington,1991-08-02,Doc Hollywood,104.0,0,0,10.068517,5.9,154.0,0
California,2009-04-03,Alien Trespass,90.0,0,0,10.067125,5.9,25.0,0
California,2007-09-09,The Jane Austen Book Club,106.0,0,0,10.061477,6.6,121.0,0
California,1980-12-19,Seems Like Old Times,102.0,0,43995918,9.896381,6.3,38.0,43995918
California,2016-12-25,20th Century Women,119.0,7000000,5816211,9.855927,7.3,213.0,-8183789
California,2011-03-02,Take Me Home,97.0,0,0,9.702695,6.7,52.0,0
New York,2011-03-02,Take Me Home,97.0,0,0,9.702695,6.7,52.0,0
California,1940-03-15,The Grapes of Wrath,129.0,750000,0,9.668636,7.8,211.0,-1500000
California,2003-12-19,House of Sand and Fog,126.0,16500000,16942795,9.245145,7.0,202.0,-16057205
California,1980-02-08,The Fog,89.0,1000000,21378361,9.194572,6.4,318.0,19378361
California,1987-07-31,The Lost Boys,97.0,8500000,32222567,9.099731,6.8,545.0,15222567
California,2012-10-25,Chasing Mavericks,117.0,0,0,8.965733,7.0,219.0,0
California,2015-04-17,Safelight,84.0,0,0,8.64958,6.3,35.0,0
California,1998-08-05,Halloween: H20,86.0,17000000,55041738,8.619068,5.7,306.0,21041738
California,2006-08-04,Who Killed the Electric Car?,92.0,1000000,1678874,8.570312,7.2,59.0,-321126
California,1976-04-07,The Bad News Bears,102.0,35000000,35323292,8.399441,7.0,100.0,-34676708
California,1991-08-01,Barton Fink,116.0,9000000,6153939,8.387026,7.4,450.0,-11846061
New York,1991-08-01,Barton Fink,116.0,9000000,6153939,8.387026,7.4,450.0,-11846061
California,2000-03-20,Romeo Must Die,115.0,25000000,91036760,8.369176,6.0,334.0,41036760
California,1999-04-09,Go,98.0,6500000,28451622,8.344282,7.0,198.0,15451622
California,2005-08-08,Mortuary,94.0,0,0,8.261448,4.0,25.0,0
California,2007-12-28,There Will Be Blood,158.0,25000000,77208711,8.200627,7.9,1581.0,27208711
California,2000-09-09,Brother,114.0,12000000,15250000,8.134524,6.8,107.0,-8750000
California,1959-07-22,Plan 9 from Outer Space,79.0,60000,0,8.084953,4.4,137.0,-120000
Washington,1959-07-22,Plan 9 from Outer Space,79.0,60000,0,8.084953,4.4,137.0,-120000
California,1943-01-16,Shadow of a Doubt,108.0,0,0,8.007141,7.5,219.0,0
California,1992-05-22,Encino Man,88.0,0,40693477,8.000189,5.6,197.0,40693477
California,2009-04-28,S. Darko,103.0,4000000,4100000,7.959965,3.6,124.0,-3900000
California,2006-09-09,A Good Year,118.0,35000000,42064105,7.82187,6.5,360.0,-27935895
California,1979-12-13,1941,113.0,35000000,31755742,7.812379,5.6,145.0,-38244258
California,1940-11-08,The Mark of Zorro,94.0,0,0,7.431939,7.1,39.0,0
California,2013-04-16,Odd Thomas,100.0,27000000,0,7.090029,6.6,370.0,-54000000
California,2016-07-14,Kickboxer: Vengeance,90.0,17000000,0,6.966654,4.5,103.0,-34000000
California,1961-03-30,One-Eyed Jacks,141.0,6000000,4300000,6.945886,6.2,45.0,-7700000
California,1998-12-25,Mighty Joe Young,114.0,90000000,0,6.939576,5.9,208.0,-180000000
California,2015-02-20,"McFarland, USA",128.0,0,45710059,6.894606,7.4,216.0,45710059
California,1974-11-15,Earthquake,123.0,7000000,79666653,6.657792,5.6,76.0,65666653
California,1944-04-24,Double Indemnity,107.0,927262,2500000,6.49432,8.0,425.0,645476
California,2006-11-19,The Hamiltons,86.0,0,0,6.47037,4.8,57.0,0
California,2001-09-14,The Glass House,106.0,30000000,23619609,6.418936,5.4,203.0,-36380391
California,1990-08-17,Come See the Paradise,133.0,0,0,6.408322,6.1,14.0,0
California,1988-12-02,Tequila Sunrise,115.0,23000000,0,6.399977,6.0,116.0,-46000000
California,2016-02-26,Pandemic,91.0,0,0,6.253285,4.3,92.0,0
New York,2016-02-26,Pandemic,91.0,0,0,6.253285,4.3,92.0,0
California,1998-10-19,Modern Vampires,91.0,0,0,6.010147,5.0,13.0,0
California,2007-10-14,The Kite Runner,128.0,20000000,73276047,5.970067,7.3,405.0,33276047
California,1973-06-01,Invasion of the Bee Girls,85.0,0,0,5.952421,4.0,15.0,0
California,2007-10-22,Lions for Lambs,92.0,35000000,63215872,5.80986,6.0,223.0,-6784128
California,1966-07-20,The Wild Angels,87.0,0,0,5.808639,5.8,17.0,0
California,1989-12-15,The Wizard,100.0,6000000,14278900,5.763954,6.1,83.0,2278900
California,2010-10-22,The Boy Who Cried Werewolf,97.0,0,0,5.686871,5.7,58.0,0
California,2008-01-03,Backwoods,85.0,0,0,5.513341,3.5,12.0,0
California,1951-09-07,The Mob,87.0,0,0,5.462545,6.0,10.0,0
California,1990-08-09,Arachnophobia,103.0,31000000,53208180,5.418428,6.2,445.0,-8791820
California,2016-11-20,Slam,100.0,0,0,5.372696,5.9,26.0,0
California,2006-07-26,Little Miss Sunshine,102.0,8000000,100523181,5.320117,7.5,1728.0,84523181
California,2010-07-09,Rubber,85.0,500000,98017,5.305905,5.7,252.0,-901983
California,1994-11-04,Double Dragon,89.0,3500000,2341309,5.190767,3.9,65.0,-4658691
California,1971-01-15,Vanishing Point,99.0,1300000,72266306,5.184013,7.1,110.0,69666306
Colorado,1971-01-15,Vanishing Point,99.0,1300000,72266306,5.184013,7.1,110.0,69666306
California,1995-12-22,Nixon,192.0,44000000,13681765,5.092,7.1,72.0,-74318235
California,2000-12-26,Crocodile,93.0,0,0,5.071511,4.9,33.0,0
California,1993-04-02,Jack the Bear,99.0,0,0,5.063771,5.9,14.0,0
